.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,52
cname,阿伦・艾弗森,阿马雷・斯塔德迈尔,安德烈・伊戈达拉,保罗・皮尔斯,保罗・乔治,本・西蒙斯,布雷克・格里芬,昌西・比卢普斯,德怀恩・韦德,德怀特・霍华德,德克・诺维茨基,德里克・罗斯,德隆・威廉姆斯,德马库斯・考辛斯,德玛尔・德罗赞,蒂姆・邓肯,多诺万・米切尔,戈登・海沃德,戈兰・德拉季奇,格兰特・希尔,贾森・基德,贾森・特里,杰森・塔图姆,卡尔-安东尼・唐斯,卡梅隆・安东尼,凯里・欧文,凯文・杜兰特,凯文・加内特,凯文・乐福,科比・布莱恩特,科怀・伦纳德,克莱・汤普森,克里斯・保罗,克里斯・波什,拉简・朗多,拉马库斯・阿尔德里奇,拉塞尔・威斯布鲁克,勒布朗・詹姆斯,雷・阿伦,林书豪,马努・吉诺比利,乔尔・恩比德,赛尔吉・伊巴卡,沙奎尔・奥尼尔,史蒂夫・纳什,斯蒂芬・库里,特雷西・麦克格雷迪,托尼・帕克,姚明,约什・史密斯,扎克・兰多夫,詹姆斯・哈登,周琦
color,0xFF7B2E,0xE6302D,0x5D9CC8,0xEDB336,0xFB3434,0x20A27E,0xE3007E,0xE3007E,0xF40009,0xFF0077,0x00FF70,0xB91820,0xF8285C,0xF8D324,0x1BCB95,0xF48A34,0x0081D7,0xC6E16C,0xDB4630,0xF84CBA,0xE53836,0xFF5959,0xFCD209,0xF08300,0xA4C639,0xF63E3F,0x327ED3,0x803EDE,0x285C9B,0x2672EC,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E,0x4297CF,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E
2013年11月,0,0,0,0,0,0,0,0,5964,4827,0,21317,0,0,0,0,0,0,0,0,0,0,0,0,6102,0,4973,0,0,31592,0,0,0,0,0,0,0,8427,0,15014,0,0,0,0,0,4742,0,0,0,0,0,4748,0
2013年12月,0,0,0,0,11887,0,0,0,7211,4633,0,4783,0,0,0,6129,0,0,0,0,0,0,0,0,0,0,6861,0,0,73562,0,0,0,11380,0,0,0,11591,0,7566,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年1月,0,0,0,0,4378,0,0,0,5526,0,0,0,0,3697,0,0,0,0,0,0,0,0,0,0,20281,0,19117,0,0,20049,0,0,0,0,0,3760,0,8444,0,7651,0,0,0,0,0,8821,0,0,0,0,0,0,0
2014年2月,0,0,0,0,0,0,5550,0,4997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5364,20146,14416,0,0,18638,0,0,0,0,0,0,0,17777,0,10440,0,0,0,0,6466,6052,0,0,0,0,0,0,0
2014年3月,0,0,0,0,0,0,5061,0,5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5080,0,12932,0,0,20941,0,0,0,0,0,0,0,22601,0,7541,0,0,0,0,4106,6206,0,0,0,0,0,5753,0
2014年4月,0,0,0,0,0,0,0,0,5928,5615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15650,0,0,19875,0,0,0,0,0,22398,0,9404,0,11054,0,0,0,0,5483,6023,0,0,0,0,0,8933,0
2014年5月,0,0,0,0,0,0,0,0,0,13870,0,0,0,0,0,12164,0,0,0,0,0,0,0,0,0,0,21003,12970,0,25321,0,0,0,0,0,0,0,18520,16070,15031,0,0,25681,0,0,16213,0,0,0,0,0,0,0
2014年6月,0,0,0,0,0,0,0,0,22631,0,0,0,0,0,0,65174,0,0,0,0,0,0,0,0,9442,10460,21533,0,0,40530,21085,0,0,0,0,0,0,48933,11021,0,0,0,0,0,0,0,0,13269,0,0,0,0,0
2014年7月,0,0,0,0,0,0,0,0,26725,8012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24279,11943,5734,0,0,30623,0,0,0,16831,0,0,0,123766,4262,21872,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年8月,0,0,0,0,106024,0,0,0,5712,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,3992,8526,9089,0,14645,38008,0,0,0,0,0,0,0,14706,0,5732,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年9月,0,0,0,0,0,0,0,6728,4577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3329,6517,5109,0,0,19362,0,0,0,0,0,0,0,9505,0,5029,0,0,3528,0,0,3641,0,0,0,0,0,0,0
